date,value
07-04-2017,28650
10-04-2017,28699
11-04-2017,29149
12-04-2017,29189
13-04-2017,29358
17-04-2017,29392
18-04-2017,29518
19-04-2017,29313
20-04-2017,29308
21-04-2017,29432
24-04-2017,29128
25-04-2017,28827
26-04-2017,28757
27-04-2017,28784
28-04-2017,28872
01-05-2017,28654
02-05-2017,28571
03-05-2017,28571
04-05-2017,28060
05-05-2017,28184
08-05-2017,28119
09-05-2017,27981
10-05-2017,28007
11-05-2017,28022
12-05-2017,28019
15-05-2017,28008
16-05-2017,28109
17-05-2017,28614
18-05-2017,28710
19-05-2017,28634
22-05-2017,28783
23-05-2017,28808
24-05-2017,28719
25-05-2017,28638
26-05-2017,28847
29-05-2017,28874
30-05-2017,28704
31-05-2017,28905
01-06-2017,28749
02-06-2017,28949
05-06-2017,29111
06-06-2017,29481
07-06-2017,29376
08-06-2017,29049
09-06-2017,28938
12-06-2017,28917
13-06-2017,28862
14-06-2017,28946
15-06-2017,28686
16-06-2017,28616
19-06-2017,28473
20-06-2017,28475
21-06-2017,28495
22-06-2017,28557
23-06-2017,28648
26-06-2017,28426
27-06-2017,28483
28-06-2017,28485
29-06-2017,28527
30-06-2017,28295
03-07-2017,27952
04-07-2017,28043
05-07-2017,28051
06-07-2017,28143
07-07-2017,27812
10-07-2017,27840
11-07-2017,27871
12-07-2017,27889
13-07-2017,27868
14-07-2017,28022
17-07-2017,28147
18-07-2017,28280
19-07-2017,28270
20-07-2017,28345
21-07-2017,28541
24-07-2017,28530
25-07-2017,28490
26-07-2017,28396
27-07-2017,28477
28-07-2017,28596
31-07-2017,28588
01-08-2017,28514
02-08-2017,28486
03-08-2017,28447
04-08-2017,28373
07-08-2017,28419
08-08-2017,28357
09-08-2017,28800
10-08-2017,29130
11-08-2017,29158
14-08-2017,29042
16-08-2017,28878
17-08-2017,29093
18-08-2017,29109
21-08-2017,29224
22-08-2017,29061
23-08-2017,29090
24-08-2017,29021
25-08-2017,29086
28-08-2017,29425
29-08-2017,29588
30-08-2017,29540
31-08-2017,29756
01-09-2017,29788
04-09-2017,30174
05-09-2017,30226
06-09-2017,30088
07-09-2017,30287
08-09-2017,30271
11-09-2017,29942
12-09-2017,29953
13-09-2017,29896
14-09-2017,30020
15-09-2017,29869
18-09-2017,29561
19-09-2017,29628
20-09-2017,29780
21-09-2017,29584
22-09-2017,29608
25-09-2017,30065
26-09-2017,29885
27-09-2017,29673
28-09-2017,29624
29-09-2017,29549
03-10-2017,29400
04-10-2017,29331
05-10-2017,29412
06-10-2017,29510
09-10-2017,29670
10-10-2017,29768
11-10-2017,29659
12-10-2017,29756
13-10-2017,29800
16-10-2017,29808
17-10-2017,29565
18-10-2017,29536
19-10-2017,29654
20-10-2017,29541
23-10-2017,29499
24-10-2017,29498
25-10-2017,29362
26-10-2017,29236
27-10-2017,29272
30-10-2017,29349
31-10-2017,29040
01-11-2017,29120
02-11-2017,29242
03-11-2017,29191
06-11-2017,29363
07-11-2017,29457
08-11-2017,29562
09-11-2017,29670
10-11-2017,29508
13-11-2017,29619
14-11-2017,29620
15-11-2017,29528
16-11-2017,29491
17-11-2017,29658
20-11-2017,29339
21-11-2017,29334
